movie_list
Elektra (2005)
Captain Marvel (2019)
Black Widow (2021)
Black Panther: Wakanda Forever (2022)
The Marvels (2023)
Madame Web (2024)
Supergirl (1984)
Catwoman (2004)
Wonder Woman (2017)
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) (2020)
Wonder Woman 1984 (2020)
Supergirl (2026)
